"","lagoslakeid","nLakePatches","LakeEdge_km","LakeEdgeArea_ha","LakeEdgeArea_pct","nWetlandPatches","WetlandEdge_km","WetlandArea_ha","WetlandArea_pct","BufferWidth_m"
"1","23961",0,0,0,0,44,63.7723288346833,323.023724909095,0.37778983464347,1500
"2","13395",2,2.77342353775797,8.3202706132739,0.0099648766949448,23,28.613468024156,113.545176336949,0.13598880782776,1500
"3","95676",3,7.35238471952106,22.0571541585632,0.0261904867630344,32,71.5229271174461,412.363729916774,0.489637363564778,1500
"4","79105",0,0,0,0,30,87.3352364212092,485.381575893492,0.565767266911353,1500
"5","120460",2,0,0,0,49,42.5390164790543,152.738793645745,0.172085498799997,1500
"6","40665",4,2.40502559206534,7.21507677619601,0.00849774419327732,42,30.636816693036,123.589152781219,0.145560336774736,1500
"7","69665",8,6.56146903890388,19.6844071167116,0.0178526988314027,83,59.4393474534312,203.460015905211,0.184527294454522,1500
"8","48996",6,7.07371549340005,21.2211464802002,0.023515385433934,160,95.8940246732123,293.985950140215,0.325769059468989,1500
"9","106955",1,0.896520166244881,2.68956049873464,0.00265390183904362,65,45.31982322678,259.237437285382,0.255800422368007,1500
"10","48001",2,4.27961819907511,12.8388545972253,0.0142034728739635,46,61.9459593127251,299.341521646544,0.331157982245278,1500
"11","136062",5,17.3536021879271,52.0608065637813,0.0568326730455337,216,117.342777152503,392.102744870698,0.428042678750887,1500
"12","58327",0,0,0,0,25,45.1506025959378,337.481395422018,0.397910613785904,1500
"13","66629",2,0.897324202039515,2.69197260611854,0.00269831974313361,43,40.3153049217562,208.193727108198,0.208684606587666,1500
"14","77982",13,16.5591098273338,49.6773294820014,0.0496496824252676,41,38.257876570166,176.805297433144,0.176706899509183,1500
"15","3676",4,1.76180389549916,5.28541168649747,0.00133878192126946,60,81.2977798762578,473.669312627723,0.119979284494745,1500
"16","115176",4,3.11248036243944,9.33744108731832,0.00783546076017839,37,42.6207943956093,294.486382745905,0.247116578817967,1500
"17","129864",6,4.79702974576755,14.3910892373027,0.0130190406889152,57,41.2642777609514,123.369693174205,0.111607608620111,1500
"18","15428",1,1.72542914694744,5.17628744084233,0.00577016489654831,58,127.4252667931,877.632297880393,0.978323390109574,1500
"19","125738",2,1.29210615196335,3.87631845589005,0.00438579021264078,35,21.6949294695411,63.6032441529371,0.0719627370331994,1500
"20","138158",4,6.75065600171107,20.2519680051332,0.0225608821104563,41,32.0571089243877,293.999068596853,0.327517717069094,1500
"21","30151",0,0,0,0,66,111.59337908436,573.41476141418,0.704295668161097,1500
"22","130903",3,6.84777157115697,20.5433147134709,0.0187792161774914,31,24.4108682365352,72.1478176658498,0.0659523296789484,1500
"23","124666",7,12.3291597334768,36.9874792004304,0.0369540810182205,25,22.431639831327,71.1940190423005,0.0711297337524775,1500
"24","18578",12,13.5523872488916,40.6571617466748,0.0464361219244129,194,108.43962395514,361.59998026603,0.412997367502466,1500
"25","2381",10,5.79869567455843,17.3960870236753,0.0164653698875505,204,135.400540088378,500.042422944694,0.473289392151584,1500
"26","27073",6,9.6701002419244,29.0103007257732,0.03277253189985,98,72.8210631554856,293.364936333117,0.33141027475572,1500
"27","110017",6,11.6732785491797,35.0198356475391,0.0405093303464821,37,70.2656611520058,526.247542664182,0.608738880569414,1500
"28","88500",1,0.849381525991576,2.54814457797473,0.00290830396024468,69,73.9667261459163,542.341331480947,0.61899684020443,1500
"29","21783",0,0,0,0,34,66.2229293673713,757.114138021539,0.78684982510985,1500
"30","39595",2,0.953473836467906,2.86042150940372,0.00339002854436546,41,68.6712231597448,600.627216484339,0.711833344040661,1500
"31","134047",1,1.11470180094817,3.3441054028445,0.00346081315972654,53,50.1017462162163,186.249924063197,0.192749961663201,1500
"32","27074",0,0,0,0,67,49.135028294575,170.187337128799,0.187944050829567,1500
"33","24995",3,7.35153523982505,22.0546057194752,0.0199525624381246,9,5.53232827853566,17.0941253270235,0.0154648696626384,1500
"34","13397",8,8.27649343568593,24.8294803070578,0.0291351433578907,168,110.660952092673,387.028615203135,0.454142980364515,1500
"35","96687",7,6.88429576421058,20.6528872926317,0.0221563828646118,66,105.784266755517,696.594313961503,0.747305212232917,1500
"36","30153",0,0,0,0,46,76.2055142431302,546.323019016978,0.670798058409504,1500
"37","92619",3,2.44858157224402,7.34574471673206,0.00867977664510035,44,36.7831261511398,149.69781298593,0.176883846510245,1500
"38","20705",13,13.910145075599,41.7304352267971,0.0504285354837148,123,78.7667911471818,311.002911265204,0.37582692969866,1500
"39","116243",6,6.45974984715371,19.3792495414611,0.0184782246750291,90,86.5666114693087,570.897202728629,0.544353730302906,1500
"40","131945",6,13.10365745758,39.3109723727399,0.0463788466977189,164,107.164883334879,450.06874012341,0.530988368939303,1500
"41","103852",6,11.8859724929242,35.6579174787727,0.0409590644315858,70,54.4291052570111,200.956447796476,0.230831991187888,1500
"42","114108",4,3.28911959573846,9.86735878721537,0.00861599903417276,33,63.0312682959761,535.926370666649,0.46796120336014,1500
"43","24996",6,3.93177712048328,11.7953313614498,0.0112401292262125,40,47.2630686092647,372.644355582329,0.35510411567185,1500
"44","85341",4,2.82312673948944,8.46938021846831,0.0091475996971074,33,61.8412023168826,564.412136242268,0.60960969437587,1500
"45","82187",0,0,0,0,21,62.8825522169509,556.142220084828,0.590313316105413,1500
"46","31221",4,5.0114493736088,15.0343481208264,0.016023899317286,26,25.8780013125313,112.493340027021,0.119897579859892,1500
"47","137036",3,1.65571793054317,4.96715379162952,0.0053806064778479,28,27.1864128749198,122.386150853059,0.132573248927493,1500
