Rowid_,LAGOSLAKEI,A_1,A_2,A_3
,290,0.000000000000000,5807700.000000000000000,0.000000000000000
,437,0.000000000000000,41400.000000000000000,0.000000000000000
,473,0.000000000000000,626400.000000000000000,0.000000000000000
,536,0.000000000000000,59400.000000000000000,14652900.000000000000000
,541,0.000000000000000,0.000000000000000,8043300.000000000000000
,547,0.000000000000000,0.000000000000000,3517200.000000000000000
,554,0.000000000000000,153000.000000000000000,0.000000000000000
,575,0.000000000000000,16200.000000000000000,2115000.000000000000000
,597,0.000000000000000,35100.000000000000000,0.000000000000000
,602,0.000000000000000,1565100.000000000000000,376200.000000000000000
,621,0.000000000000000,531900.000000000000000,0.000000000000000
,623,0.000000000000000,0.000000000000000,545400.000000000000000
,627,0.000000000000000,12600.000000000000000,0.000000000000000
,631,424800.000000000000000,14400.000000000000000,3182400.000000000000000
,643,0.000000000000000,15602400.000000000000000,0.000000000000000
,651,0.000000000000000,19800.000000000000000,0.000000000000000
,658,0.000000000000000,1111500.000000000000000,0.000000000000000
,659,56700.000000000000000,396000.000000000000000,0.000000000000000
,668,0.000000000000000,172800.000000000000000,0.000000000000000
,670,0.000000000000000,154800.000000000000000,0.000000000000000
,674,0.000000000000000,24300.000000000000000,0.000000000000000
,688,0.000000000000000,0.000000000000000,14056200.000000000000000
,691,0.000000000000000,0.000000000000000,2715300.000000000000000
,708,0.000000000000000,0.000000000000000,3018600.000000000000000
,714,0.000000000000000,6386400.000000000000000,1296900.000000000000000
,731,0.000000000000000,1055700.000000000000000,0.000000000000000
,732,1823400.000000000000000,8284500.000000000000000,0.000000000000000
,740,0.000000000000000,0.000000000000000,158400.000000000000000
,752,0.000000000000000,628200.000000000000000,0.000000000000000
,753,0.000000000000000,1924200.000000000000000,0.000000000000000
,776,0.000000000000000,0.000000000000000,45900.000000000000000
,790,0.000000000000000,2675700.000000000000000,0.000000000000000
,812,0.000000000000000,1037700.000000000000000,0.000000000000000
,818,0.000000000000000,0.000000000000000,8101800.000000000000000
